elementCount,run,className,dataType,archetype,supportsStagedMutability,footprintInBytes,footprintInObjects,footprintInReferences
4,2,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,224,4,15
4,2,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,184,3,13
4,2,scala.collection.immutable.HashSet,SET,PERSISTENT,false,216,6,9
4,2,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,408,10,25
4,3,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,128,3,7
4,3,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,160,3,11
4,3,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,224,4,15
4,3,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,184,3,13
4,3,scala.collection.immutable.HashSet,SET,PERSISTENT,false,216,6,9
4,3,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,408,10,25
8,0,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,160,3,11
8,0,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,224,3,19
8,0,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,288,4,23
8,0,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,248,3,21
8,0,scala.collection.immutable.HashSet,SET,PERSISTENT,false,376,10,17
8,0,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,760,18,49
8,1,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,160,3,11
8,1,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,224,3,19
8,1,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,288,4,23
8,1,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,248,3,21
8,1,scala.collection.immutable.HashSet,SET,PERSISTENT,false,504,14,21
8,1,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,888,22,53
8,2,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,304,7,17
8,2,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,368,7,25
8,2,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,560,10,41
8,2,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,520,9,39
8,2,scala.collection.immutable.HashSet,SET,PERSISTENT,false,504,14,21
8,2,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,888,22,53
8,3,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,232,5,14
8,3,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,296,5,22
8,3,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,424,7,32
8,3,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,384,6,30
8,3,scala.collection.immutable.HashSet,SET,PERSISTENT,false,440,12,19
8,3,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,824,20,51
16,0,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,368,7,25
16,0,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,496,7,41
16,0,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,688,10,57
16,0,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,648,9,55
16,0,scala.collection.immutable.HashSet,SET,PERSISTENT,false,952,26,41
16,0,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,1720,42,105
16,1,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,368,7,25
16,1,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,496,7,41
16,1,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,688,10,57
16,1,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,648,9,55
16,1,scala.collection.immutable.HashSet,SET,PERSISTENT,false,1016,28,43
16,1,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,1784,44,107
16,2,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,296,5,22
16,2,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,424,5,38
16,2,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,552,7,48
